Area,Date,Cases,Population,Serotype
Anpang,2023/09/07,1,4143,DENV-1
Anpang,2023/11/16,2,4143,DENV-1
Anpang,2023/11/20,1,4143,DENV-1
Anpang,2023/11/21,1,4143,DENV-1
Anpang,2023/11/24,1,4143,DENV-1
Anpang,2023/11/27,1,4143,DENV-1
Anpang,2023/11/30,1,4143,DENV-1
Anpang,2023/12/02,1,4143,DENV-1
Anpang,2023/12/04,1,4143,DENV-1
Anpang,2023/12/05,1,4143,DENV-1
Anpang,2023/12/06,1,4143,DENV-1
Houzhuang,2023/08/17,1,8967,DENV-1
Houzhuang,2023/08/23,2,8967,DENV-1
Houzhuang,2023/08/24,1,8967,DENV-1
Houzhuang,2023/08/25,2,8967,DENV-1
Houzhuang,2023/08/26,1,8967,DENV-1
Houzhuang,2023/08/27,3,8967,DENV-1
Houzhuang,2023/08/28,1,8967,DENV-1
Houzhuang,2023/08/29,1,8967,DENV-1
Houzhuang,2023/09/01,1,8967,DENV-1
Houzhuang,2023/09/10,2,8967,DENV-1
Houzhuang,2023/09/13,1,8967,DENV-1
Houzhuang,2023/09/25,1,8967,DENV-1
Houzhuang,2023/10/03,1,8967,DENV-1
Houzhuang,2023/10/06,1,8967,DENV-1
Houzhuang,2023/10/15,1,8967,DENV-1
Houzhuang,2023/10/17,1,8967,DENV-1
Houzhuang,2023/10/19,1,8967,DENV-1
Houzhuang,2023/10/29,1,8967,DENV-1
Houzhuang,2023/10/31,1,8967,DENV-1
Houzhuang,2023/11/01,1,8967,DENV-1
Houzhuang,2023/11/02,2,8967,DENV-1
Houzhuang,2023/11/03,3,8967,DENV-1
Houzhuang,2023/11/05,1,8967,DENV-1
Houzhuang,2023/11/07,1,8967,DENV-1
Houzhuang,2023/11/13,2,8967,DENV-1
Houzhuang,2023/11/14,1,8967,DENV-1
Houzhuang,2023/11/15,1,8967,DENV-1
Houzhuang,2023/11/24,1,8967,DENV-1
Houzhuang,2023/11/30,1,8967,DENV-1
Houzhuang,2023/12/05,1,8967,DENV-1
Houzhuang,2023/12/06,1,8967,DENV-1